cty,Name,Fraction_Married_rP_gP_pall
cty55073,"Marathon County, WI",0.5854
cty19195,"Worth County, IA",0.5854
cty29173,"Ralls County, MO",0.5853
cty42087,"Mifflin County, PA",0.5852
cty17135,"Montgomery County, IL",0.5852
cty30055,"McCone County, MT",0.5851
cty56019,"Johnson County, WY",0.585
cty29229,"Wright County, MO",0.585
cty27027,"Clay County, MN",0.5849
cty47039,"Decatur County, TN",0.5849
cty55133,"Waukesha County, WI",0.5848
cty53023,"Garfield County, WA",0.5848
cty26113,"Missaukee County, MI",0.5848
cty29003,"Andrew County, MO",0.5845
cty42063,"Indiana County, PA",0.5844
cty29145,"Newton County, MO",0.5842
cty17083,"Jersey County, IL",0.5842
cty16077,"Power County, ID",0.5841
cty16045,"Gem County, ID",0.584
cty18011,"Boone County, IN",0.5837
cty31031,"Cherry County, NE",0.5836
cty22059,"LaSalle Parish, LA",0.5836
cty20079,"Harvey County, KS",0.5832
cty18181,"White County, IN",0.5831
cty48357,"Ochiltree County, TX",0.5829
cty20145,"Pawnee County, KS",0.5828
cty17085,"Jo Daviess County, IL",0.5825
cty21185,"Oldham County, KY",0.5825
cty42071,"Lancaster County, PA",0.5824
cty18111,"Newton County, IN",0.5823
cty18153,"Sullivan County, IN",0.5822
cty29039,"Cedar County, MO",0.5822
cty18161,"Union County, IN",0.5822
cty29043,"Christian County, MO",0.5817
cty55045,"Green County, WI",0.5817
cty38017,"Cass County, ND",0.5815
cty29225,"Webster County, MO",0.5815
cty08029,"Delta County, CO",0.5815
cty27009,"Benton County, MN",0.5814
cty22023,"Cameron Parish, LA",0.5814
cty39121,"Noble County, OH",0.5813
cty17171,"Scott County, IL",0.5812
cty19171,"Tama County, IA",0.581
cty16075,"Payette County, ID",0.5808
cty16087,"Washington County, ID",0.5806
cty38035,"Grand Forks County, ND",0.5803
cty49045,"Tooele County, UT",0.5803
cty18033,"DeKalb County, IN",0.5803
cty18051,"Gibson County, IN",0.58
cty05145,"White County, AR",0.5797
cty27049,"Goodhue County, MN",0.5796
cty27147,"Steele County, MN",0.5796
cty18113,"Noble County, IN",0.5794
cty27001,"Aitkin County, MN",0.5793
cty19137,"Montgomery County, IA",0.5793
cty17147,"Piatt County, IL",0.579
cty39157,"Tuscarawas County, OH",0.5789
cty19039,"Clarke County, IA",0.5789
cty29091,"Howell County, MO",0.5789
cty17009,"Brown County, IL",0.5788
cty31167,"Stanton County, NE",0.5788
cty18121,"Parke County, IN",0.5788
cty48381,"Randall County, TX",0.5786
cty29087,"Holt County, MO",0.5786
cty55117,"Sheboygan County, WI",0.5785
cty55017,"Chippewa County, WI",0.5785
